Grid,Range,Avg_Accuracy,Lowest Accuracy,Avg_Faster
15x40,1 - 1000,100.0%,100%,107.853%
15x50,1 - 5,84.331%,76.147%,3485.501%
15x50,1 - 10,88.795%,81.765%,2880.816%
15x50,1 - 20,95.527%,89.316%,789.5%
15x50,1 - 50,99.871%,99.459%,108.17%
15x50,1 - 100,99.974%,99.836%,109.802%
15x50,1 - 500,100.0%,100%,104.787%
15x50,1 - 1000,100.0%,100%,101.332%
20x5,1 - 5,86.805%,79.487%,425.31%
20x5,1 - 10,89.199%,77.551%,376.452%
20x5,1 - 20,99.3%,97.5%,175.582%
20x5,1 - 50,99.963%,99.628%,110.964%
20x5,1 - 100,100.0%,100%,106.247%
20x5,1 - 500,100.0%,100%,100.969%
20x5,1 - 1000,100.0%,100%,92.706%
20x10,1 - 5,74.793%,60.377%,1246.521%
20x10,1 - 10,89.465%,77.419%,1023.946%
20x10,1 - 20,97.914%,95.833%,501.094%
20x10,1 - 50,99.718%,97.571%,113.539%
20x10,1 - 100,99.977%,99.773%,106.35%
20x10,1 - 500,100.0%,100%,106.714%
20x10,1 - 1000,100.0%,100%,107.574%
20x15,1 - 5,73.649%,67.347%,2509.242%
20x15,1 - 10,83.097%,67.123%,2137.16%
20x15,1 - 20,94.996%,88.0%,961.353%
20x15,1 - 50,99.961%,99.612%,163.018%
20x15,1 - 100,100.0%,100%,127.4%
20x15,1 - 500,100.0%,100%,102.574%
20x15,1 - 1000,100.0%,100%,103.417%
20x20,1 - 5,79.412%,69.231%,3977.35%
20x20,1 - 10,84.047%,76.471%,2918.004%
20x20,1 - 20,94.761%,85.484%,1413.987%
20x20,1 - 50,99.938%,99.377%,157.96%
20x20,1 - 100,99.969%,99.695%,121.071%
20x20,1 - 500,100.0%,100%,112.102%
20x20,1 - 1000,100.0%,100%,104.059%
20x25,1 - 5,76.402%,63.492%,4688.798%
20x25,1 - 10,81.742%,73.267%,3667.791%
20x25,1 - 20,95.214%,88.387%,1655.348%
20x25,1 - 50,99.647%,98.447%,154.227%
20x25,1 - 100,99.971%,99.712%,111.042%
20x25,1 - 500,100.0%,100%,111.486%
20x25,1 - 1000,100.0%,100%,94.082%
20x30,1 - 5,78.562%,64.286%,4879.718%
20x30,1 - 10,88.088%,81.579%,3861.039%
20x30,1 - 20,95.881%,87.845%,1359.506%
20x30,1 - 50,99.803%,99.385%,134.739%
20x30,1 - 100,99.984%,99.84%,114.518%
20x30,1 - 500,100.0%,100%,101.186%
20x30,1 - 1000,100.0%,100%,97.426%
20x40,1 - 5,82.506%,73.913%,5338.858%
20x40,1 - 10,83.889%,76.159%,4839.938%
20x40,1 - 20,96.402%,92.308%,1038.806%
20x40,1 - 50,99.847%,99.544%,118.677%
20x40,1 - 100,100.0%,100%,111.529%
20x40,1 - 500,100.0%,100%,111.465%
20x40,1 - 1000,100.0%,100%,100.881%
20x50,1 - 5,77.564%,73.333%,6458.405%
20x50,1 - 10,84.679%,73.292%,5139.135%
20x50,1 - 20,95.074%,91.928%,1026.722%
20x50,1 - 50,99.793%,98.818%,117.729%
20x50,1 - 100,99.972%,99.72%,103.857%
20x50,1 - 500,100.0%,100%,104.947%
20x50,1 - 1000,100.0%,100%,109.401%
25x5,1 - 5,91.367%,77.778%,442.814%
25x5,1 - 10,91.871%,77.528%,404.722%
25x5,1 - 20,99.781%,97.81%,146.053%
25x5,1 - 50,100.0%,100%,99.745%
25x5,1 - 100,100.0%,100%,103.231%
25x5,1 - 500,100.0%,100%,99.264%
25x5,1 - 1000,100.0%,100%,111.879%
25x10,1 - 5,81.333%,73.684%,1300.749%
25x10,1 - 10,88.142%,83.75%,1189.233%
25x10,1 - 20,98.407%,93.204%,327.19%
25x10,1 - 50,99.855%,99.257%,135.791%
25x10,1 - 100,99.982%,99.824%,110.395%
25x10,1 - 500,99.986%,99.861%,117.415%
25x10,1 - 1000,100.0%,100%,107.69%
25x15,1 - 5,79.74%,73.684%,2808.193%
25x15,1 - 10,86.057%,70.093%,2546.362%
25x15,1 - 20,97.24%,90.845%,748.557%
25x15,1 - 50,99.839%,99.023%,131.464%
25x15,1 - 100,99.971%,99.706%,108.401%
25x15,1 - 500,100.0%,100%,105.84%
25x15,1 - 1000,100.0%,100%,102.349%
25x20,1 - 5,76.002%,61.842%,4772.818%
25x20,1 - 10,84.999%,75.0%,4169.618%
25x20,1 - 20,97.265%,95.333%,1283.644%
25x20,1 - 50,99.815%,98.813%,176.475%
25x20,1 - 100,100.0%,100%,127.274%
25x20,1 - 500,100.0%,100%,98.903%
25x20,1 - 1000,100.0%,100%,96.319%
25x25,1 - 5,77.656%,62.162%,6904.94%
25x25,1 - 10,82.814%,68.0%,5046.708%
25x25,1 - 20,94.836%,92.105%,1277.548%
25x25,1 - 50,99.67%,98.847%,128.788%
25x25,1 - 100,100.0%,100%,130.595%
25x25,1 - 500,100.0%,100%,98.186%
25x25,1 - 1000,100.0%,100%,97.09%
25x30,1 - 5,74.973%,61.25%,6803.675%
25x30,1 - 10,84.157%,73.077%,5771.405%
25x30,1 - 20,93.602%,87.113%,1485.739%
25x30,1 - 50,99.821%,99.18%,146.574%
25x30,1 - 100,100.0%,100%,110.011%
25x30,1 - 500,100.0%,100%,99.312%
25x30,1 - 1000,100.0%,100%,100.737%
25x40,1 - 5,75.055%,67.347%,8365.124%
25x40,1 - 10,79.907%,74.126%,7527.112%
25x40,1 - 20,95.817%,91.593%,2610.281%
25x40,1 - 50,99.798%,99.291%,142.257%
25x40,1 - 100,99.977%,99.882%,107.412%
25x40,1 - 500,100.0%,100%,101.23%
25x40,1 - 1000,100.0%,100%,101.718%
25x50,1 - 5,78.592%,68.595%,9035.653%
25x50,1 - 10,83.793%,79.874%,7054.644%
25x50,1 - 20,96.061%,92.095%,2416.312%
25x50,1 - 50,99.895%,99.636%,123.363%
25x50,1 - 100,99.972%,99.719%,105.794%
25x50,1 - 500,100.0%,100%,102.903%
25x50,1 - 1000,100.0%,100%,105.616%
30x5,1 - 5,86.173%,68.75%,442.36%
30x5,1 - 10,91.901%,82.857%,380.858%
30x5,1 - 20,98.727%,91.549%,162.237%
30x5,1 - 50,99.809%,99.196%,99.428%
30x5,1 - 100,99.977%,99.772%,108.656%
30x5,1 - 500,100.0%,100%,98.382%
30x5,1 - 1000,100.0%,100%,99.097%
30x10,1 - 5,84.625%,76.271%,1569.509%
30x10,1 - 10,85.237%,64.835%,1206.951%
30x10,1 - 20,97.4%,93.671%,447.478%
30x10,1 - 50,99.782%,99.038%,116.278%
30x10,1 - 100,99.97%,99.696%,119.787%
30x10,1 - 500,100.0%,100%,96.969%
30x10,1 - 1000,100.0%,100%,103.787%
30x15,1 - 5,77.259%,70.27%,3163.039%
30x15,1 - 10,85.694%,64.151%,2729.776%
30x15,1 - 20,94.94%,83.537%,908.786%
30x15,1 - 50,99.907%,99.349%,151.534%
30x15,1 - 100,99.961%,99.746%,100.873%
30x15,1 - 500,100.0%,100%,101.764%
30x15,1 - 1000,100.0%,100%,108.323%
30x20,1 - 5,77.927%,67.073%,4602.634%
30x20,1 - 10,82.721%,72.727%,5005.881%
30x20,1 - 20,95.236%,89.595%,1713.762%
30x20,1 - 50,99.84%,99.422%,141.694%
30x20,1 - 100,99.958%,99.85%,111.757%
30x20,1 - 500,100.0%,100%,102.186%
30x20,1 - 1000,100.0%,100%,109.395%
30x25,1 - 5,77.662%,70.423%,7419.176%
30x25,1 - 10,84.085%,78.07%,5949.468%
30x25,1 - 20,96.358%,89.34%,2446.787%
30x25,1 - 50,99.35%,98.382%,151.285%
30x25,1 - 100,99.984%,99.84%,124.64%
30x25,1 - 500,100.0%,100%,103.555%
30x25,1 - 1000,100.0%,100%,104.218%
30x30,1 - 5,76.171%,62.195%,9880.559%
30x30,1 - 10,84.531%,74.359%,8070.468%
30x30,1 - 20,95.893%,86.294%,2201.338%
30x30,1 - 50,99.778%,99.195%,134.156%
30x30,1 - 100,99.979%,99.789%,102.652%
30x30,1 - 500,100.0%,100%,105.991%
30x30,1 - 1000,100.0%,100%,102.736%
30x40,1 - 5,79.559%,67.308%,12599.299%
30x40,1 - 10,83.556%,79.195%,10047.986%
30x40,1 - 20,96.802%,92.544%,3096.929%
30x40,1 - 50,99.79%,99.083%,135.552%
30x40,1 - 100,99.917%,99.542%,103.532%
30x40,1 - 500,100.0%,100%,102.174%
30x40,1 - 1000,100.0%,100%,104.984%
30x50,1 - 5,73.4%,61.6%,12629.29%
30x50,1 - 10,84.375%,78.75%,12167.923%
30x50,1 - 20,95.41%,93.502%,2679.829%
30x50,1 - 50,99.536%,97.711%,146.388%
30x50,1 - 100,99.973%,99.824%,108.514%
30x50,1 - 500,100.0%,100%,105.178%
30x50,1 - 1000,100.0%,100%,104.324%
40x5,1 - 5,90.641%,80.519%,494.113%
40x5,1 - 10,91.176%,75.424%,402.674%
40x5,1 - 20,99.088%,96.482%,143.869%
40x5,1 - 50,99.919%,99.569%,111.791%
40x5,1 - 100,99.99%,99.903%,94.715%
40x5,1 - 500,100.0%,100%,98.562%
40x5,1 - 1000,100.0%,100%,101.008%
40x10,1 - 5,85.135%,64.773%,1490.845%
40x10,1 - 10,85.805%,69.784%,1258.6%
40x10,1 - 20,96.643%,87.079%,482.918%
40x10,1 - 50,99.962%,99.618%,119.574%
40x10,1 - 100,99.979%,99.792%,113.585%
40x10,1 - 500,99.996%,99.959%,106.946%
40x10,1 - 1000,100.0%,100%,110.268%
40x15,1 - 5,78.219%,69.767%,3206.231%
40x15,1 - 10,87.963%,80.672%,2908.932%
40x15,1 - 20,96.822%,92.308%,965.98%
40x15,1 - 50,99.605%,98.261%,119.671%
40x15,1 - 100,100.0%,100%,105.08%
40x15,1 - 500,100.0%,100%,106.936%
40x15,1 - 1000,100.0%,100%,96.806%
40x20,1 - 5,75.36%,63.441%,5927.616%
40x20,1 - 10,86.256%,80.132%,4486.585%
40x20,1 - 20,96.163%,93.213%,1374.297%
40x20,1 - 50,99.634%,99.087%,137.823%
40x20,1 - 100,99.987%,99.869%,116.1%
40x20,1 - 500,100.0%,100%,104.584%
40x20,1 - 1000,100.0%,100%,105.389%
40x25,1 - 5,80.142%,73.864%,9196.505%
40x25,1 - 10,82.282%,72.297%,6689.683%
40x25,1 - 20,93.892%,86.937%,1952.989%
40x25,1 - 50,99.7%,98.982%,130.817%
40x25,1 - 100,99.95%,99.612%,104.247%
40x25,1 - 500,100.0%,100%,103.702%
40x25,1 - 1000,100.0%,100%,101.679%
40x30,1 - 5,77.501%,71.429%,12145.556%
40x30,1 - 10,81.785%,71.951%,11094.048%
40x30,1 - 20,96.179%,92.381%,2927.503%
40x30,1 - 50,99.7%,98.881%,135.222%
40x30,1 - 100,100.0%,100%,111.855%
40x30,1 - 500,100.0%,100%,100.367%
40x30,1 - 1000,100.0%,100%,100.719%
40x40,1 - 5,74.861%,62.295%,18405.546%
40x40,1 - 10,80.634%,67.027%,15703.785%
40x40,1 - 20,93.413%,86.957%,2890.693%
40x40,1 - 50,99.766%,98.716%,145.035%
40x40,1 - 100,100.0%,100%,109.43%
40x40,1 - 500,100.0%,100%,101.628%
40x40,1 - 1000,100.0%,100%,101.847%
40x50,1 - 5,71.497%,59.477%,23263.888%
40x50,1 - 10,79.292%,71.795%,17745.337%
40x50,1 - 20,94.348%,88.581%,3804.997%
40x50,1 - 50,99.953%,99.834%,125.274%
40x50,1 - 100,99.973%,99.816%,105.276%
40x50,1 - 500,100.0%,100%,98.061%
40x50,1 - 1000,100.0%,100%,99.464%
50x5,1 - 5,87.656%,77.778%,472.585%
50x5,1 - 10,92.511%,86.982%,378.418%
50x5,1 - 20,98.81%,94.142%,151.755%
50x5,1 - 50,99.946%,99.639%,99.336%
